Step,Loss,Cost,Accuracy
560,1.9051590560955902,1.90615905609559,0.31
565,1.923881408621689,1.924881408621689,0.33
570,1.9668975159961781,1.967897515996178,0.32
575,1.9183556844497178,1.9193556844497177,0.3
580,1.8349009258282825,1.8359009258282823,0.38
585,1.8535545757432306,1.8545545757432305,0.29
590,1.9328106637116114,1.9338106637116113,0.27
595,1.8704860825142424,1.8714860825142423,0.32
600,1.912469709216262,1.9134697092162618,0.31
605,1.9624904961652485,1.9634904961652484,0.28
610,1.9378943066959748,1.9388943066959747,0.39
615,1.8890512043569887,1.8900512043569886,0.33
620,1.951841371935893,1.9528413719358928,0.29
625,1.953391046545096,1.954391046545096,0.35
630,1.9996418906199827,2.0006418906199825,0.29
635,1.8559223503197508,1.8569223503197507,0.31
640,1.898160603094086,1.899160603094086,0.37
645,1.892857893344357,1.8938578933443568,0.32
650,2.0109558751844236,2.0119558751844235,0.38
655,1.9410715194440669,1.9420715194440668,0.32
660,1.8416056224045203,1.8426056224045202,0.36
665,1.9606522019107717,1.9616522019107716,0.35
670,1.8930259317968268,1.8940259317968267,0.31
675,1.786991674646964,1.787991674646964,0.43
680,1.860894187847188,1.861894187847188,0.38
685,1.8406770982972926,1.8416770982972925,0.34
690,1.8809369387727022,1.881936938772702,0.38
695,1.9200474967263037,1.9210474967263036,0.38
700,1.8948365874558188,1.8958365874558187,0.29
705,1.892639497907031,1.8936394979070308,0.29
710,1.8405807912682608,1.8415807912682607,0.31
715,1.9489149478992234,1.9499149478992233,0.3
720,1.9099885990671686,1.9109885990671684,0.42
725,1.8389448916091633,1.8399448916091632,0.35
730,1.8081793028635806,1.8091793028635805,0.39
735,1.814975018765178,1.815975018765178,0.33
740,1.7666314828419865,1.7676314828419863,0.38
745,1.907757981915027,1.9087579819150269,0.29
750,1.9010336764457836,1.9020336764457835,0.29
755,1.9156685977733319,1.9166685977733318,0.38
760,1.7774290049678234,1.7784290049678233,0.34
765,1.7957145482632577,1.7967145482632576,0.28
770,1.813507875989123,1.8145078759891229,0.4
775,1.9270598713740912,1.928059871374091,0.33
780,1.7942260852116565,1.7952260852116564,0.37
785,1.8969512520627805,1.8979512520627804,0.26
790,1.9655734565160194,1.9665734565160193,0.32
795,1.8156962350267143,1.8166962350267142,0.38
800,1.6900551619661832,1.691055161966183,0.37
805,1.7549062343696307,1.7559062343696306,0.38
810,1.6740354156187487,1.6750354156187486,0.44
815,1.9209331206765177,1.9219331206765176,0.35
820,1.8668994631858755,1.8678994631858754,0.4
825,2.0325037802095385,2.0335037802095384,0.27
830,1.7446138565043392,1.745613856504339,0.37
835,1.9530986746065548,1.9540986746065547,0.34
840,1.9826417470564826,1.9836417470564824,0.27
845,1.7625393066599142,1.763539306659914,0.38
850,1.8071160989025359,1.8081160989025358,0.42
855,1.8455489954058195,1.8465489954058194,0.37
860,1.808145029090114,1.8091450290901139,0.37
865,1.7876651612054113,1.7886651612054112,0.38
870,1.8337526024700181,1.834752602470018,0.32
875,1.8378829836602524,1.8388829836602523,0.3
