Step,Loss,Cost,Accuracy
0,2.4711354813507453,2.4721354813507452,0.11
50,2.3193326176028717,2.3203326176028716,0.13
100,2.240581702857741,2.241581702857741,0.22
150,2.2051799741829816,2.2061799741829815,0.16
200,2.107324342458014,2.108324342458014,0.22
250,2.063600813418925,2.064600813418925,0.23
300,1.9653644788257196,1.9663644788257195,0.28
350,1.9777284918206994,1.9787284918206993,0.23
400,1.8163594603931128,1.8173594603931127,0.37
450,1.8959640363646988,1.8969640363646987,0.32
500,1.8921778123225355,1.8931778123225353,0.35
550,1.886137579623904,1.8871375796239038,0.29
600,1.82523513818388,1.82623513818388,0.38
650,1.9278065316227184,1.9288065316227183,0.36
700,1.8308047026324394,1.8318047026324393,0.37
750,1.8131559896820866,1.8141559896820865,0.36
800,1.6072926317567098,1.6082926317567097,0.36
850,1.7309332423708481,1.731933242370848,0.4
900,1.8004149859133185,1.8014149859133184,0.4
950,1.81812901988847,1.81912901988847,0.38
1000,1.7422722243389421,1.743272224338942,0.35
1050,1.738129855142233,1.739129855142233,0.42
1100,1.6062406734603696,1.6072406734603695,0.46
1150,1.860298868064956,1.8612988680649558,0.33
1200,1.7531943876743545,1.7541943876743544,0.4
1250,1.519830281814686,1.520830281814686,0.5
1300,1.7475700611716152,1.748570061171615,0.37
1350,1.641994923299621,1.6429949232996208,0.48
1400,1.8658139775737625,1.8668139775737624,0.3
1450,1.6288865681677782,1.629886568167778,0.41
1500,1.6443939171517357,1.6453939171517356,0.46
1550,1.6218970290115196,1.6228970290115194,0.49
1600,1.6410336456485848,1.6420336456485847,0.46
1650,1.8421381454930223,1.8431381454930222,0.31
1700,1.641304822055521,1.642304822055521,0.41
1750,1.6866809678536732,1.687680967853673,0.36
1800,1.7181849520142232,1.719184952014223,0.41
1850,1.6587312024014929,1.6597312024014927,0.44
1900,1.5993448476977887,1.6003448476977886,0.37
1950,1.6905038378386816,1.6915038378386815,0.37
2000,1.557939465971945,1.5589394659719449,0.43
2050,1.8732239125656553,1.8742239125656552,0.34
2100,1.5927749612133097,1.5937749612133096,0.45
2150,1.530108695427517,1.5311086954275168,0.51
2200,1.6537068157077326,1.6547068157077325,0.45
2250,1.6178933131068536,1.6188933131068535,0.38
2300,1.730278031199047,1.731278031199047,0.36
2350,1.650730399950371,1.651730399950371,0.42
2400,1.6908671422805366,1.6918671422805365,0.37
2450,1.704567170645099,1.705567170645099,0.44
2500,1.557561104486019,1.5585611044860188,0.48
2550,1.8958176792274957,1.8968176792274956,0.32
2600,1.7055674471313782,1.706567447131378,0.48
2650,1.9700188080577583,1.9710188080577582,0.35
2700,1.723045075966276,1.724045075966276,0.34
2750,1.739077033253033,1.7400770332530329,0.38
2800,1.6713870138105156,1.6723870138105155,0.39
2850,1.6927065357883933,1.6937065357883931,0.31
2900,1.6323309240367723,1.6333309240367722,0.42
2950,1.789191410155916,1.790191410155916,0.39
3000,1.5453898382699895,1.5463898382699894,0.51
3050,1.596282327561997,1.597282327561997,0.48
3100,1.3735530443474118,1.3745530443474117,0.56
3150,1.564620135713607,1.5656201357136068,0.46
3200,1.5458046470230664,1.5468046470230663,0.48
3250,1.7430588670060394,1.7440588670060393,0.39
3300,1.5055097960865362,1.5065097960865361,0.47
3350,1.6364687291690374,1.6374687291690373,0.38
3400,1.5612365447994205,1.5622365447994204,0.4
3450,1.4694009592190571,1.470400959219057,0.44
3500,1.5553153787815972,1.556315378781597,0.52
3550,1.7044097539082115,1.7054097539082114,0.46
