Lambda,Index,Accuracy,Cost,Loss,EtaMin,EtaMax,Cycles,n_s,Batchsize
,,,,,,,,,
0.0001,199,0.488,1.441395194,1.441394794,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.0012,198,0.489,1.436510262,1.436505462,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.0023,199,0.4956,1.439225504,1.439216304,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.0034,199,0.499,1.427648605,1.427635005,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.0045,198,0.492,1.44438666,1.44436866,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.0056,199,0.4898,1.430881524,1.430859124,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.0067,186,0.4912,1.442865303,1.442838503,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.0078,193,0.4906,1.429216015,1.429184815,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.0089,199,0.5002,1.429601264,1.429565664,1.00E-05,0.1,1,900,100
,,,,,,,,,
0.01,184,0.4928,1.453693781,1.453653781,1.00E-05,0.1,1,900,100
